ID,City,Month,Day,Year,AvgTemperature
637758,Vienna,1,1,2009,25.6
637759,Vienna,1,2,2009,28.2
637760,Vienna,1,3,2009,24.1
637761,Vienna,1,4,2009,26.6
637762,Vienna,1,5,2009,30.5
637763,Vienna,1,6,2009,24.8
637764,Vienna,1,7,2009,23.8
637765,Vienna,1,8,2009,24.4
637766,Vienna,1,9,2009,22.3
637767,Vienna,1,10,2009,17
637768,Vienna,1,11,2009,18.3
637769,Vienna,1,12,2009,20.2
637770,Vienna,1,13,2009,20.7
637771,Vienna,1,14,2009,23.2
637772,Vienna,1,15,2009,29.8
637773,Vienna,1,16,2009,29.4
637774,Vienna,1,17,2009,22
637775,Vienna,1,18,2009,26.5
637776,Vienna,1,19,2009,37.4
637777,Vienna,1,20,2009,38.3
637778,Vienna,1,21,2009,37.2
637779,Vienna,1,22,2009,35.7
637780,Vienna,1,23,2009,35.4
637781,Vienna,1,24,2009,41
637782,Vienna,1,25,2009,36.6
637783,Vienna,1,26,2009,34.5
637784,Vienna,1,27,2009,35.2
637785,Vienna,1,28,2009,33.8
637786,Vienna,1,29,2009,31.5
637787,Vienna,1,30,2009,31.7
637788,Vienna,1,31,2009,31
637789,Vienna,2,1,2009,30.1
637790,Vienna,2,2,2009,34
637791,Vienna,2,3,2009,35.1
637792,Vienna,2,4,2009,38.4
637793,Vienna,2,5,2009,36.6
637794,Vienna,2,6,2009,38.9
637795,Vienna,2,7,2009,48.8
637796,Vienna,2,8,2009,37.6
637797,Vienna,2,9,2009,34.2
637798,Vienna,2,10,2009,33
637799,Vienna,2,11,2009,37.8
637800,Vienna,2,12,2009,33.1
637801,Vienna,2,13,2009,30.4
637802,Vienna,2,14,2009,31.5
637803,Vienna,2,15,2009,29.2
637804,Vienna,2,16,2009,30.5
637805,Vienna,2,17,2009,30.4
637806,Vienna,2,18,2009,26.2
637807,Vienna,2,19,2009,27.1
637808,Vienna,2,20,2009,31.5
637809,Vienna,2,21,2009,31.1
637810,Vienna,2,22,2009,28
637811,Vienna,2,23,2009,37.2
637812,Vienna,2,24,2009,35.2
637813,Vienna,2,25,2009,36.9
637814,Vienna,2,26,2009,39.6
637815,Vienna,2,27,2009,41.2
637816,Vienna,2,28,2009,44.8
637817,Vienna,3,1,2009,41.3
637818,Vienna,3,2,2009,39.3
637819,Vienna,3,3,2009,42.7
637820,Vienna,3,4,2009,45.5
637821,Vienna,3,5,2009,44.7
637822,Vienna,3,6,2009,41.8
637823,Vienna,3,7,2009,39
637824,Vienna,3,8,2009,43.6
637825,Vienna,3,9,2009,43.1
637826,Vienna,3,10,2009,43.4
637827,Vienna,3,11,2009,41.6
637828,Vienna,3,12,2009,42.1
637829,Vienna,3,13,2009,43.5
637830,Vienna,3,14,2009,43.8
637831,Vienna,3,15,2009,43.5
637832,Vienna,3,16,2009,45.5
637833,Vienna,3,17,2009,42.7
637834,Vienna,3,18,2009,42.2
637835,Vienna,3,19,2009,35.6
637836,Vienna,3,20,2009,35.5
637837,Vienna,3,21,2009,36.5
637838,Vienna,3,22,2009,43.2
637839,Vienna,3,23,2009,47.4
637840,Vienna,3,24,2009,40.5
637841,Vienna,3,25,2009,35.9
637842,Vienna,3,26,2009,40.4
637843,Vienna,3,27,2009,47
637844,Vienna,3,28,2009,52
637845,Vienna,3,29,2009,45.7
637846,Vienna,3,30,2009,41.5
637847,Vienna,3,31,2009,44.2
637848,Vienna,4,1,2009,51.1
637849,Vienna,4,2,2009,54.5
637850,Vienna,4,3,2009,54.4
637851,Vienna,4,4,2009,57.8
637852,Vienna,4,5,2009,58.5
637853,Vienna,4,6,2009,60.1
637854,Vienna,4,7,2009,58.5
637855,Vienna,4,8,2009,60.1
637856,Vienna,4,9,2009,-99
637857,Vienna,4,10,2009,60
637858,Vienna,4,11,2009,60.7
637859,Vienna,4,12,2009,59.4
637860,Vienna,4,13,2009,56.6
637861,Vienna,4,14,2009,56.7
637862,Vienna,4,15,2009,56.8
637863,Vienna,4,16,2009,61.5
637864,Vienna,4,17,2009,55.7
637865,Vienna,4,18,2009,52.3
637866,Vienna,4,19,2009,56.5
637867,Vienna,4,20,2009,60.1
637868,Vienna,4,21,2009,57.2
637869,Vienna,4,22,2009,58.3
637870,Vienna,4,23,2009,50.8
637871,Vienna,4,24,2009,54.6
637872,Vienna,4,25,2009,57.2
637873,Vienna,4,26,2009,59
637874,Vienna,4,27,2009,58.1
637875,Vienna,4,28,2009,59.6
637876,Vienna,4,29,2009,56.5
637877,Vienna,4,30,2009,56.6
637878,Vienna,5,1,2009,59.5
637879,Vienna,5,2,2009,55.7
637880,Vienna,5,3,2009,59.4
637881,Vienna,5,4,2009,56.4
637882,Vienna,5,5,2009,54.3
637883,Vienna,5,6,2009,55.8
637884,Vienna,5,7,2009,60.1
637885,Vienna,5,8,2009,62.2
637886,Vienna,5,9,2009,66.4
637887,Vienna,5,10,2009,67.5
637888,Vienna,5,11,2009,67.2
637889,Vienna,5,12,2009,57.2
637890,Vienna,5,13,2009,52.8
637891,Vienna,5,14,2009,49.9
637892,Vienna,5,15,2009,57.1
637893,Vienna,5,16,2009,59.8
637894,Vienna,5,17,2009,64.6
637895,Vienna,5,18,2009,69.1
637896,Vienna,5,19,2009,65.8
637897,Vienna,5,20,2009,65.6
637898,Vienna,5,21,2009,68.8
637899,Vienna,5,22,2009,69.8
637900,Vienna,5,23,2009,64.3
637901,Vienna,5,24,2009,65.5
637902,Vienna,5,25,2009,71.9
637903,Vienna,5,26,2009,72.3
637904,Vienna,5,27,2009,63.3
637905,Vienna,5,28,2009,59.2
637906,Vienna,5,29,2009,51.5
637907,Vienna,5,30,2009,49.1
637908,Vienna,5,31,2009,54.3
637909,Vienna,6,1,2009,57.3
637910,Vienna,6,2,2009,59.8
637911,Vienna,6,3,2009,63.4
637912,Vienna,6,4,2009,57.8
637913,Vienna,6,5,2009,59.1
637914,Vienna,6,6,2009,65.2
637915,Vienna,6,7,2009,61.2
637916,Vienna,6,8,2009,65.5
637917,Vienna,6,9,2009,72.2
637918,Vienna,6,10,2009,65
637919,Vienna,6,11,2009,61.6
637920,Vienna,6,12,2009,60.5
637921,Vienna,6,13,2009,63.3
637922,Vienna,6,14,2009,68.7
637923,Vienna,6,15,2009,71.1
637924,Vienna,6,16,2009,70
637925,Vienna,6,17,2009,66.5
637926,Vienna,6,18,2009,73.1
637927,Vienna,6,19,2009,68.8
637928,Vienna,6,20,2009,58
637929,Vienna,6,21,2009,60.6
637930,Vienna,6,22,2009,55.1
637931,Vienna,6,23,2009,57.3
637932,Vienna,6,24,2009,61.9
637933,Vienna,6,25,2009,65.1
637934,Vienna,6,26,2009,66.8
637935,Vienna,6,27,2009,66.3
637936,Vienna,6,28,2009,65.9
637937,Vienna,6,29,2009,67.9
637938,Vienna,6,30,2009,71.2
637939,Vienna,7,1,2009,71.6
637940,Vienna,7,2,2009,72.1
637941,Vienna,7,3,2009,71.5
637942,Vienna,7,4,2009,74.4
637943,Vienna,7,5,2009,72.8
637944,Vienna,7,6,2009,67.2
637945,Vienna,7,7,2009,69.7
637946,Vienna,7,8,2009,65
637947,Vienna,7,9,2009,65.3
637948,Vienna,7,10,2009,62.6
637949,Vienna,7,11,2009,63.3
637950,Vienna,7,12,2009,67.7
637951,Vienna,7,13,2009,72
637952,Vienna,7,14,2009,76.8
637953,Vienna,7,15,2009,77.4
637954,Vienna,7,16,2009,75.9
637955,Vienna,7,17,2009,77.1
637956,Vienna,7,18,2009,61.1
637957,Vienna,7,19,2009,65.4
